Article_Index,Title,Source,BJP,INC,AAP,TMC,SP,BSP
0,US-Israel-Iran War News Live Updates: Israel says ...,indianexpress.com,0,0,0,0,0,0
1,Top US counterterrorism official had lost first wi...,indianexpress.com,0,0,0,0,0,0
2,"C Raja Mohan writes: During Nowruz, Iran’s Persian...",indianexpress.com,0,0,0,0,0,0
3,"Dubai, Abu Dhabi News Live Updates: 2026 edition o...",indianexpress.com,0,0,0,0,0,0
4,"Again, Assam Congress loss becomes Himanta gain as...",indianexpress.com,0,0,0,0,0,0
5,A ‘Sanatani’ affidavit and a Sara Ali Khan questio...,indianexpress.com,0,0,0,0,0,0
6,Air travel gets a flyer-first push: 60% free seats...,indianexpress.com,0,0,0,0,0,0
7,Swift YouTube rise and a brutal end: Pregnant woma...,indianexpress.com,0,0,0,0,0,0
8,Inside India’s giant AI ‘refineries’: The high-sec...,indianexpress.com,0,0,0,0,0,0
9,"15,172 civilians killed, 80% deported children mis...",indianexpress.com,0,0,0,0,0,0
10,"To address passenger grouse, DGCA directs airline ...",indianexpress.com,0,0,0,0,0,0
11,On this day in 2018: Dinesh Karthik’s career reviv...,indianexpress.com,0,0,0,0,0,0
12,Expert Explains | ‘Good opportunity for investors ...,indianexpress.com,0,0,0,0,0,0
13,SC rap to Allahabad HC judge over bail in dowry de...,indianexpress.com,0,0,0,0,0,0
14,Why gold prices have remained subdued in India des...,indianexpress.com,0,0,0,0,0,0
15,"India’s GDP debate: Right questions, wrong numbers...",indianexpress.com,0,0,0,0,0,0
16,"Crude oil carrier Jag Laadki, which survived missi...",indianexpress.com,0,0,0,0,0,0
17,UPSC ‘success’ that wasn’t: From Bihar village her...,indianexpress.com,0,0,0,0,0,0
